payment_id,card,merchant_name,merchant_id,terminal_id,card_type_name,acq_ref_nr,tr_batch_id,tr_batch_open_date,tr_date_time,tr_type,tr_amount,tr_ccy,msc,tr_ret_ref_nr,tr_approval_id,tr_processing_date,merchant_iban_code,proc_code,issuer_country,proc_region,mcc,merchant_country,tran_region,card_product_type,user_define_field1,user_define_field2,user_define_field3,merchant_legal_name,card_product_class,src_file,src_row,chunk_file,chunk_row
3218760998360313,492983%8730,bob,1234,HP9IY7DG71HS374,Visa,T18IF00UFKGJK4ESE4AQTN6,1,2021-09-30,2021-09-29 13:47:12,05,1865.70,EUR,37.31,dHbcimZggStM,qyXJRp,2021-09-30 08:46:12,GB123,11,CYP,International,2886,CYP,Local,credit_consumer,1,2,3,bobLimited Legal Name,Corporate,PSP_transact2_20211001_103212.csv,0,PSP_transact2_20211001_103212_chunk_1.csv,0
1948389201012931,491605%6470,bob,1234,,Visa,5ZBHP5MLG9EWDZ8VNZCMY2K,1,2021-09-30,2021-09-29 20:51:12,05,5555.82,EUR,111.12,ZdgxWidnLjXR,CBcOpn,2021-09-30 16:27:12,GB123,11,PLN,International,4850,CYP,EU/SEPA,credit_commercial,,,,bobLimited Legal Name,Consumer,PSP_transact2_20211001_103212.csv,1,PSP_transact2_20211001_103212_chunk_1.csv,1
1757109420014129,453944%4020,bob,1234,41EKVFE2R1GRVFB,Visa,5BP8BHH0NDSU2A7WFC802RS,1,2021-09-30,2021-09-29 21:42:12,05,7532.91,EUR,150.66,XDXnlWctauGA,VVHHlh,2021-09-30 06:23:12,GB123,11,ZAR,International,2603,CYP,EU/SEPA,credit_consumer,1,2,3,bobLimited Legal Name,Consumer,PSP_transact2_20211001_103212.csv,2,PSP_transact2_20211001_103212_chunk_1.csv,2
7204695380682817,453210%9340,bob,1234,MYISIAOZIYN61EN,Visa,W8OI7MJX2ZIYACNCB0JN9VL,1,2021-09-30,2021-09-29 20:52:12,05,5350.83,EUR,107.02,OsHywawshxjC,YGWBWD,2021-09-30 20:40:12,GB123,11,PLN,International,7351,CYP,EU/SEPA,debit_consumer,1,2,3,bobLimited Legal Name,Consumer,PSP_transact2_20211001_103212.csv,3,PSP_transact2_20211001_103212_chunk_1.csv,3
3566658057452243,402400%6180,bob,1234,4KVDY40WEMRVUFW,Visa,ZFBA1SCBCAG751TZE4PGI5J,1,2021-09-30,2021-09-29 12:04:12,05,5747.09,EUR,114.94,nxKKWCGhNyYF,WZoeyO,2021-09-30 09:32:12,GB123,11,CYP,International,5441,CYP,Local,credit_commercial,1,2,3,bobLimited Legal Name,Consumer,PSP_transact2_20211001_103212.csv,4,PSP_transact2_20211001_103212_chunk_1.csv,4
2434661404539093,455656%2720,bob,1234,BK09EXK7V7X6OUS,Visa,RRWRYCDC3BHULBREB2KJ4LH,1,2021-09-30,2021-09-29 23:18:12,05,9066.44,EUR,181.33,PmWjxOqaEIUb,trzTUy,2021-09-30 06:00:12,GB123,11,PLN,International,1073,CYP,EU/SEPA,credit_commercial,1,2,3,bobLimited Legal Name,Corporate,PSP_transact2_20211001_103212.csv,5,PSP_transact2_20211001_103212_chunk_1.csv,5
7056462330589972,471625%9810,bob,1234,I41FUDSMWWOJ547,Visa,ZFOREVDWMBLUC5FSOMSFH49,1,2021-09-30,2021-09-30 01:09:12,05,8555.38,EUR,171.11,vHzvoYLIaRrw,uteZnW,2021-09-30 11:06:12,GB123,11,CYP,International,1855,CYP,Local,debit_consumer,1,2,3,bobLimited Legal Name,Premium,PSP_transact2_20211001_103212.csv,6,PSP_transact2_20211001_103212_chunk_1.csv,6
2791236920521181,453259%0180,bob,1234,WRT3KZB40CBAZ5L,Visa,ON0EULYZ5FHUD5R724FN2VU,1,2021-09-30,2021-09-30 08:05:12,05,2615.95,EUR,52.32,fUqptxnWUoYk,RnlzOi,2021-09-30 17:13:12,GB123,11,PLN,International,1639,CYP,EU/SEPA,credit_commercial,1,2,3,bobLimited Legal Name,Corporate,PSP_transact2_20211001_103212.csv,7,PSP_transact2_20211001_103212_chunk_1.csv,7
9874394782441969,549348%9440,bob,1234,ZLO9F5JZIJ6LQXY,MA,B85JSXR9W0R2YPKONEEJ20F,1,2021-09-30,2021-09-29 15:01:12,05,8422.91,EUR,168.46,vHIChRHmNEOf,sxCgCe,2021-09-29 23:11:12,GB123,11,ZAR,International,2950,CYP,EU/SEPA,credit_commercial,1,2,3,bobLimited Legal Name,Consumer,PSP_transact2_20211001_103212.csv,8,PSP_transact2_20211001_103212_chunk_1.csv,8
6000117081125697,471675%5920,bob,1234,YHVYTES2DDM2ET5,Visa,E1KMTO9B953JKZKDE5KHYUL,1,2021-09-30,2021-09-30 07:39:12,05,6294.57,EUR,125.89,PyuNyvDDMPuU,CuzWzP,2021-09-30 19:19:12,GB123,11,CYP,International,9709,CYP,Local,credit_commercial,1,2,3,bobLimited Legal Name,Premium,PSP_transact2_20211001_103212.csv,9,PSP_transact2_20211001_103212_chunk_1.csv,9
