payment_id,card,merchant_name,merchant_id,terminal_id,card_type_name,acq_ref_nr,tr_batch_id,tr_batch_open_date,tr_date_time,tr_type,tr_amount,tr_ccy,msc,tr_ret_ref_nr,tr_approval_id,tr_processing_date,merchant_iban_code,proc_code,issuer_country,proc_region,mcc,merchant_country,tran_region,card_product_type,user_define_field1,user_define_field2,user_define_field3,merchant_legal_name,card_product_class,agreement_id
3218760998360313,492983%8730,bob,1234,TR641252,VISA,T18IF00UFKGJK4ESE4AQTN6,ID951512,2022-02-04,2022-02-04 23:13:20,5,1865.7,USD,37.31,dHbcimZggStM,qyXJRp,2022-02-04 23:13:20,GB123,11,CYP,International,2886,CYP,Local,CREDIT_CONSUMER,1,2,3,bobLimited Legal Name,CORPORATE,6723
1757109420014129,453944%4020,bob,1234,TR641252,VISA,5BP8BHH0NDSU2A7WFC802RS,ID951512,2022-02-04,2022-02-04 23:13:20,5,7532.91,USD,150.66,XDXnlWctauGA,VVHHlh,2022-02-04 23:13:20,GB123,11,ZAR,International,2603,CYP,EU/SEPA,CREDIT_CONSUMER,1,2,3,bobLimited Legal Name,CONSUMER,6723
7204695380682817,453210%9340,bob,1234,TR641252,VISA,W8OI7MJX2ZIYACNCB0JN9VL,ID951512,2022-02-04,2022-02-04 23:13:20,5,5350.83,USD,107.02,OsHywawshxjC,YGWBWD,2022-02-04 23:13:20,GB123,11,PLN,International,7351,CYP,EU/SEPA,DEBIT_CONSUMER,1,2,3,bobLimited Legal Name,CONSUMER,6723
3566658057452243,402400%6180,bob,1234,TR641252,VISA,ZFBA1SCBCAG751TZE4PGI5J,ID951512,2022-02-04,2022-02-04 23:13:20,5,5747.09,USD,114.94,nxKKWCGhNyYF,WZoeyO,2022-02-04 23:13:20,GB123,11,CYP,International,5441,CYP,Local,CREDIT_COMMERCIAL,1,2,3,bobLimited Legal Name,CONSUMER,6723
2434661404539093,455656%2720,bob,1234,TR641252,VISA,RRWRYCDC3BHULBREB2KJ4LH,ID951512,2022-02-04,2022-02-04 23:13:20,5,9066.44,USD,181.33,PmWjxOqaEIUb,trzTUy,2022-02-04 23:13:20,GB123,11,PLN,International,1073,CYP,EU/SEPA,CREDIT_COMMERCIAL,1,2,3,bobLimited Legal Name,CORPORATE,6723
7056462330589972,471625%9810,bob,1234,TR641252,VISA,ZFOREVDWMBLUC5FSOMSFH49,ID951512,2022-02-04,2022-02-04 23:13:20,5,8555.38,USD,171.11,vHzvoYLIaRrw,uteZnW,2022-02-04 23:13:20,GB123,11,CYP,International,1855,CYP,Local,DEBIT_CONSUMER,1,2,3,bobLimited Legal Name,PREMIUM,6723
2791236920521181,453259%0180,bob,1234,TR641252,VISA,ON0EULYZ5FHUD5R724FN2VU,ID951512,2022-02-04,2022-02-04 23:13:20,5,2615.95,USD,52.32,fUqptxnWUoYk,RnlzOi,2022-02-04 23:13:20,GB123,11,PLN,International,1639,CYP,EU/SEPA,CREDIT_COMMERCIAL,1,2,3,bobLimited Legal Name,CORPORATE,6723
9874394782441969,549348%9440,bob,1234,TR641252,MA,B85JSXR9W0R2YPKONEEJ20F,ID951512,2022-02-04,2022-02-04 23:13:20,5,8422.91,USD,168.46,vHIChRHmNEOf,sxCgCe,2022-02-04 23:13:20,GB123,11,ZAR,International,2950,CYP,EU/SEPA,CREDIT_COMMERCIAL,1,2,3,bobLimited Legal Name,CONSUMER,6723
6000117081125697,471675%5920,bob,1234,TR641252,VISA,E1KMTO9B953JKZKDE5KHYUL,ID951512,2022-02-04,2022-02-04 23:13:20,5,6294.57,USD,125.89,PyuNyvDDMPuU,CuzWzP,2022-02-04 23:13:20,GB123,11,CYP,International,9709,CYP,Local,CREDIT_COMMERCIAL,1,2,3,bobLimited Legal Name,PREMIUM,6723
4872678951699975,524404%6410,bob,1234,TR641252,MA,Z4AQQIIXNH3KC8HB0L4C1ZR,ID951512,2022-02-04,2022-02-04 23:13:20,6,-2019.04,USD,-40.38,YhnHdPadTVsb,OsaPAc,2022-02-04 23:13:20,GB123,20,GBP,International,7610,CYP,EU/SEPA,CREDIT_COMMERCIAL,1,2,3,bobLimited Legal Name,CORPORATE,6723
